Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0001548	Overgrowth									PCS	common								PMID:19133692; PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000085	Horseshoe kidney									PCS	4/22								PMID:19133692; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000104	Renal agenesis									PCS	1/16								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000126	Hydronephrosis									PCS	4/16								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000076	Vesicoureteral reflux									PCS	1/16								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000113	Polycystic kidney dysplasia									PCS	1/16								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0005580	Duplication of renal pelvis									PCS	1/16								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0001999	Facial dysmorphism									PCS	hallmark								PMID:12404101; PMID:19133692; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000377	Abnormality of the pinna									PCS	9/10								PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0009890	High anterior hairline									PCS	25/26								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000303	Mandibular prognathia									PCS	26/33								PMID:19133692; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000448	Prominent nose									PCS	31/36								PMID:12404101; PMID:19133692; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0001363	Craniosynostosis									PCS	6/28								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000494	Downward slanting palpebral fissures									PCS	9/15								PMID:10951463; PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0000414	Bulbous nose									PCS	3/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0000431	Broad nasal bridge									PCS	5/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0000343	Long philtrum									PCS	5/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0000156	High-arched palate									PCS	3/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0000347	Micrognathia									PCS	4/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000324	Facial asymmetry									PCS	8/15								PMID:10951463; PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0002564	Cardiac malformation									PCS	2/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0001249	Mental retardation									PCS	hallmark								PMID:19133692; PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0001367	Abnormality of the joints									PCS	5/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0000407	Sensorineural hearing impairment									PCS	3/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0001166	Arachnodactyly									PCS	9/31								PMID:10951463; PMID:12404101; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			tetrasomy distal 15q		HP:0010511	Increased length of toes									PCS	4/5								PMID:10951463		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000077	Abnormality of the kidney									PCS	10/22								PMID:19133692; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000486	Strabismus									PCS	3/28								PMID:19133692		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0002650	Scoliosis									PCS	6/30								PMID:12404101; PMID:19133692; PMID:19262081		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0000256	Macrocephaly									PCS	8/10								PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0002564	Cardiac malformation									PCS	10/39								PMID:12404101; PMID:19133692; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000276	Long face									PCS	hallmark								PMID:12404101; PMID:19133692; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0002167	Neurological speech impairment									PCS	hallmark								PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0000470	Short neck									PCS	4/10								PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0000369	Low-set ears									PCS	8/10								PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0002262	Puffy cheeks									PCS	8/15								PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0001167	Abnormality of the fingers									PCS	21/31								PMID:10951463; PMID:12404101; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0001182	Tapered fingers									PCS	4/26								PMID:12404101; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0100490	Camptodactyly (hands)									PCS	4/26								PMID:12404101; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0001780	Abnormality of the toes									PCS	3/16								PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0100667	Brachydactyly (hand)									PCS	3/26								PMID:12404101; PMID:20603595		
DECIPHER:81	15q26 overgrowth syndrome			trisomy distal 15q		HP:0001382	Joint hypermobility									PCS	3/10								PMID:12404101		
DECIPHER:81	15q26 overgrowth syndrome			trisomy/tetrasomy distal 15q		HP:0000325	Triangular facies									PCS	8/10								PMID:12404101	03.04.2011	
