Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:147950		MIM:136350			FGFR1	HP:0000006																			
MIM:147950		MIM:136350			FGFR1	HP:0000028																			
MIM:147950		MIM:136350			FGFR1	HP:0000044																			
MIM:147950		MIM:136350			FGFR1	HP:0000407																			
MIM:147950		MIM:136350			FGFR1	HP:0000453		FMA:76585		PATO:0001819															
MIM:147950		MIM:136350			FGFR1	HP:0000458																			
MIM:147950		MIM:136350			FGFR1	HP:0001249																			
MIM:147950		MIM:136350			FGFR1	HP:0001425																			
MIM:147950		MIM:136350			FGFR1	HP:0001509		FMA:20394		PATO:0000569															
MIM:147950		MIM:136350			FGFR1	HP:0002564				PATO:0000646															
