Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:164400		MIM:601556			ATXN1	HP:0000006																			
MIM:164400		MIM:601556			ATXN1	HP:0000018																			
MIM:164400		MIM:601556			ATXN1	HP:0000514																			
MIM:164400		MIM:601556			ATXN1	HP:0000623																			
MIM:164400		MIM:601556			ATXN1	HP:0000639																			
MIM:164400		MIM:601556			ATXN1	HP:0000648		FMA:50863		PATO:0001623															
MIM:164400		MIM:601556			ATXN1	HP:0001252		FMA:30316		PATO:0001619									PATO:0001869						
MIM:164400		MIM:601556			ATXN1	HP:0001260																			
MIM:164400		MIM:601556			ATXN1	HP:0001283		FMA:30316		HP:0001283															
MIM:164400		MIM:601556			ATXN1	HP:0001310																			
MIM:164400		MIM:601556			ATXN1	HP:0001314																			
MIM:164400		MIM:601556			ATXN1	HP:0001347																			
MIM:164400		MIM:601556			ATXN1	HP:0002015		GO:0043050		PATO:0001641															
MIM:164400		MIM:601556			ATXN1	HP:0002071																			
MIM:164400		MIM:601556			ATXN1	HP:0002072																			
MIM:164400		MIM:601556			ATXN1	HP:0002073																			
MIM:164400		MIM:601556			ATXN1	HP:0002075																			
MIM:164400		MIM:601556			ATXN1	HP:0002129																			
MIM:164400		MIM:601556			ATXN1	HP:0002168																			
MIM:164400		MIM:601556			ATXN1	HP:0002542																			
MIM:164400		MIM:601556			ATXN1	HP:0003134																			
MIM:164400		MIM:601556			ATXN1	HP:0003202		FMA:5022		PATO:0001623															
MIM:164400		MIM:601556			ATXN1	HP:0003487																			
MIM:164400		MIM:601556			ATXN1	HP:0003669																			
MIM:164400		MIM:601556			ATXN1	HP:0003744																			
MIM:164400		MIM:601556			ATXN1	HP:0007006																			
MIM:164400		MIM:601556			ATXN1	HP:0007225																			
