Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0000007	Autosomal recessive inheritance											PCS						PMID:11090342	17.02.2009	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0002990	Fibular aplasia											PCS	hallmark					MIM:200500; PMID:11090342	17.02.2009	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0009828	Peromelia											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0005736	Hypoplastic tibia											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0005792	Humeral hypoplasia											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0003982	Absent ossification/absent ulna											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0003974	Absent ossification/absence of radius											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0009802	Aplasia of the phalanges of the hand											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0004231	Absent carpal bones/absent ossification of the carpal bones											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0010048	Aplasia of metacarpal bones											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0010509	Aplasia of the tarsal bones											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0010744	Aplasia of the metatarsal bones											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0004050	Absent hands											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0009820	Peromelia involving the lower limbs											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
MIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE	MIM:605522	LIMB REGION 1, MOUSE, HOMOLOG OF ZPA REGULATORY SEQUENCE, INCLUDED	delLMBR1(exon4)	LMBR1	HP:0005632	Absent forearm											PCS	hallmark					MIM:200500; PMID:11090342	19.01.2010	
