Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0000007	Autosomal recessive inheritance									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0000571	Hypometric saccades									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0000590	External ophthalmoplegia, progressive (PEO)									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0000640	Gaze-evoked nystagmus									PCS	14/14							PMID:14506070	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0000657	Oculomotor apraxia									PCS	12/14							PMID:14506070	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0002337	Cognitive deficits									PCS	11/11							PMID:14506070	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001260	Dysarthria									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001265	Hyporeflexia									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001272	Cerebellar atrophy									PCS	14/14								Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001284	Areflexia									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001324	Muscle weakness	FMA:5022	null	PATO:0001779	decreased strength					TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001332	Dystonia	FMA:30316	null	PATO:0001814	dystonicity					TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001337	Tremor									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0001761	Pes cavus									PCS	6/11							PMID:14506070	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0002066	Gait ataxia									TAS								OMIM:208920 	Feb 17, 2009	
MIM:208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA EAOH ATAXIA-OCULOMOTOR APRAXIA 1 ATAXIA-TELANGIECTASIA-LIKE SYNDROME CEREBELLAR ATAXIA, EARLY-ONSET, WITH HYPOALBUMINEMIA ATAXIA, ADULT-ONSET, WITH OCULOMOTOR APRAXIA, INCLUDED	MIM:606350	APRATAXIN		APTX	HP:0002070	Limb ataxia	FMA:7182	null	HP:0001251	Ataxia					TAS								OMIM:208920 	Feb 17, 2009	
