Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000007												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000254		FMA:63864		PATO:0000001								IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000268												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000325												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000483		FMA:58238		PATO:0001848								IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000486												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000578												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000678												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0000951		FMA:7163		PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0001252		FMA:30316		PATO:0001619								IEA		PATO:0001869					17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0001260												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0001462												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0001635		GO:0060047		PATO:0001641								IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0001685												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0002240		FMA:7197		PATO:0000586								IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0002447		FMA:82553		PATO:0000586								IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0002667												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0002680												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0004666												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0005132												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0005475												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0007659												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0007757		FMA:58298		PATO:0000645								IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0008374												IEA							17.02.2009	
MIM:253250	MULIBREY NANISM	MIM:605073			TRIM37	HP:0008847												IEA							17.02.2009	
