Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0000007	Autosomal recessive inheritance									PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0000430	Hypoplastic nasal alae	FMA:59502	Nasal cartilage	PATO:0000645	hypoplastic					PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0000482	Microcornea	FMA:58238	Cornea	PATO:0000587	decreased size					PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0000506	Telecanthus									PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0000568	Microphthalmos									PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0000682	Abnormality of dental enamel									PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0000697	Misshapen teeth									PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0010705	4-5 finger syndactyly	FMA:85518	Digit	PATO:0000642	fused with	FMA:85518	Digit			PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0005768	Soft tissue syndactyly of toes 2, 3, and 4									PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0005769	Fifth finger distal phalanx clinodactyly									PCS									OMIM:257850	17.02.2009	
MIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE OCULODENTOOSSEOUS DYSPLASIA, AUTOSOMAL RECESSIVE ODOD, AUTOSOMAL RECESSIVE	MIM:121014	GAP JUNCTION PROTEIN, ALPHA-1 CONNEXIN 43 HEART CONNEXIN		GJA1	HP:0007930	Prominent epicanthal folds									PCS									OMIM:257850	17.02.2009	
