Disease ID	Disease Name	Disease ID	Gene ID	Gene/Location ID	Gene/Location Name	Allele	Genotype	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:270400	MIM:602858					HP:0000007	Autosomal recessive inheritance																		
		MIM:270400	MIM:602858					HP:0000028	Cryptorchidism																		
		MIM:270400	MIM:602858					HP:0000033	Ambiguous genitalia, male	FMA:67811	Male human body	HP:0000062	Ambiguous genitalia														
		MIM:270400	MIM:602858					HP:0000046	Scrotal hypoplasia	FMA:18252	Scrotum	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0000047	Hypospadias	FMA:19650	External urethral orifice	PATO:0001920	mislocalised ventrally														
		MIM:270400	MIM:602858					HP:0000047	Hypospadias	FMA:19650	External urethral orifice	PATO:0001920	mislocalised ventrally														
		MIM:270400	MIM:602858					HP:0000048	Bifid scrotum	FMA:18252	Scrotum	PATO:0000403	cleft														
		MIM:270400	MIM:602858					HP:0000054	Micropenis	FMA:9707	Penis	PATO:0000587	decreased size														
		MIM:270400	MIM:602858					HP:0000074	Ureteropelvic junction obstruction																		
		MIM:270400	MIM:602858					HP:0000088	Cystic kidney	FMA:7203	Kidney	PATO:0001673	cystic														
		MIM:270400	MIM:602858					HP:0000104	Renal agenesis	FMA:7203	Kidney	PATO:0002019	aplastic growth														
		MIM:270400	MIM:602858					HP:0000104	Renal agenesis	FMA:7203	Kidney	PATO:0002019	aplastic growth														
		MIM:270400	MIM:602858					HP:0000121	Nephrocalcinosis																		
		MIM:270400	MIM:602858					HP:0000126	Hydronephrosis	FMA:15575	Renal pelvis	PATO:0001571	dilated														
		MIM:270400	MIM:602858					HP:0000175	Cleft palate	FMA:54549	Palate	PATO:0000403	cleft														
		MIM:270400	MIM:602858					HP:0000175	Cleft palate	FMA:54549	Palate	PATO:0000403	cleft														
		MIM:270400	MIM:602858					HP:0000187	Broad alveolar ridges																		
		MIM:270400	MIM:602858					HP:0000187	Broad alveolar ridges																		
		MIM:270400	MIM:602858					HP:0000210	Micrognathia	FMA:54396	Jaw	PATO:0000587	decreased size														
		MIM:270400	MIM:602858					HP:0000210	Micrognathia	FMA:54396	Jaw	PATO:0000587	decreased size														
		MIM:270400	MIM:602858					HP:0000238	Hydrocephalus	FMA:50801	Brain	PATO:0001853	hydrocephalic	FMA:20935	Cerebrospinal fluid												
		MIM:270400	MIM:602858					HP:0000252	Microcephaly	FMA:46565	Skull	PATO:0000587	decreased size														
		MIM:270400	MIM:602858					HP:0000252	Microcephaly	FMA:46565	Skull	PATO:0000587	decreased size														
		MIM:270400	MIM:602858					HP:0000286	Epicanthal folds																		
		MIM:270400	MIM:602858					HP:0000286	Epicanthal folds																		
		MIM:270400	MIM:602858					HP:0000314	Bitemporal narrowing																		
		MIM:270400	MIM:602858					HP:0000314	Bitemporal narrowing																		
		MIM:270400	MIM:602858					HP:0000316	Hypertelorism	FMA:54450	Left eye	PATO:0000374	increased distance	FMA:54449	Right eye												
		MIM:270400	MIM:602858					HP:0000316	Hypertelorism	FMA:54450	Left eye	PATO:0000374	increased distance	FMA:54449	Right eye												
		MIM:270400	MIM:602858					HP:0000343	Long philtrum	FMA:59819	Philtrum	PATO:0000573	increased length														
		MIM:270400	MIM:602858					HP:0000358	Posteriorly rotated ears	FMA:52780	Ear	PATO:0001922	mislocalised posteriorly														
		MIM:270400	MIM:602858					HP:0000358	Posteriorly rotated ears	FMA:52780	Ear	PATO:0001922	mislocalised posteriorly														
		MIM:270400	MIM:602858					HP:0000369	Low-set ears	FMA:52780	Ear	PATO:0001476	decreased position														
		MIM:270400	MIM:602858					HP:0000369	Low-set ears	FMA:52780	Ear	PATO:0001476	decreased position														
		MIM:270400	MIM:602858					HP:0000439	Flat, broad nasal bridge																		
		MIM:270400	MIM:602858					HP:0000439	Flat, broad nasal bridge																		
		MIM:270400	MIM:602858					HP:0000463	Anteverted nostrils	FMA:72005	Set of nares	PATO:0001474	anteverted														
		MIM:270400	MIM:602858					HP:0000463	Anteverted nostrils	FMA:72005	Set of nares	PATO:0001474	anteverted														
		MIM:270400	MIM:602858					HP:0000486	Strabismus																		
		MIM:270400	MIM:602858					HP:0000508	Ptosis																		
		MIM:270400	MIM:602858					HP:0000508	Ptosis																		
