Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0000006	Autosomal dominant inheritance			IEA	IEA									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0000968	Ectodermal dysplasia			ITM	ITM									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0000975	Hyperhidrosis			ITM	ITM									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0001064	Diaphoresis			ITM	ITM									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0001662	Bradycardia			IEA	IEA									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0002223	Absent eyebrow			IEA	IEA									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0002215	Sparse axillary hair			PCS	PCS							MIM:601375		17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0004765	Episodic supraventricular tachycardia			IEA	IEA									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0004772	short, thin, sparse, pale scalp hair			IEA	IEA									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0004777	short, sparse eyelashes			IEA	IEA									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0008382	Dystrophic thickened nails			IEA	IEA									17.02.2009	
MIM:601375	ECTODERMAL DYSPLASIA, HIDROTIC, CHRISTIANSON-FOURIE TYPE					HP:0002225	Sparse pubic hair			PCS	PCS							MIM:601375		20.02.2012	
