Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation	Description	Orthologs	Pub	Date Created	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000006	Autosomal dominant inheritance									TEA								MIM:611936	13.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0001513	Obesity									PCS	3/5							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000252	Microcephaly									PCS	4/5							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000311	Round face									PCS	3/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000276	Long face									PCS	1/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000494	Downward slanting palpebral fissures									PCS	1/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000507	Short palpebral fissure									PCS	1/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0002122	Mental retardation, mild to moderate									PCS	3/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000256	Macrocephaly									PCS	1/5							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000414	Bulbous nose									PCS	3/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0003196	Nasal hypoplasia									PCS	2/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0000431	Broad nasal bridge									PCS	1/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0006114	Multiple palmar creases									PCS	2/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0001763	Pes planus									PCS	2/4							PMID:18241066	14.09.2010	
MIM:611936	CHROMOSOME 3q29 MICRODUPLICATION SYNDROME			dup3q29		HP:0002162	Low posterior hairline									PCS	1/4							PMID:18241066	14.09.2010	
