Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0001419	X-linked recessive inheritance			TEA								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 13, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0001319	Neonatal hypotonia			TEA	typical		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 13, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0010864	Intellectual disability, severe			PCS	PCS		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup; PMID:17088400		Sep 15, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0000750	Delayed speech and language development			TEA	hallmark		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 15, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0002191	Progressive spasticity	HP:0003578	Onset in childhood	PCS	PCS		male	male				PMID:17088400		Sep 15, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0002205	Recurrent respiratory infections			TEA	75%		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 15, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0001250	Seizures			TEA	50%		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 15, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0000717	Autism			TEA	occasional		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 15, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0001255	Psychomotor retardation			TEA	typical		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 15, 2010	
DECIPHER:45	Xq28 (MECP2) duplication			dupXq28 		HP:0002022	Feeding difficulties			TEA	typical		male	male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mecp2-dup		Sep 15, 2010	
