Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000158	Macroglossia											PCS	25%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000181	Macrostomia											PCS	25%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000303	Mandibular prognathia											PCS	25%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000327	Maxillary hypoplasia											PCS	25%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000486	Strabismus											PCS	42%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000490	Deep set eyes											PCS	25%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000635	Blue irides											PCS	88%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000639	Nystagmus											PCS	7.5 %					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000687	Widely spaced teeth											PCS	25%					ISBN-13:978-0721606156	17.02.2009	
MIM:105830	ANGELMAN SYNDROME ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED			MECP2 / wt; UBE3A / wt, 15q11.2-q13 / wt	MECP2, UBE3A, 15q11.2-q13	HP:0000749	Paroxysmal bursts of laughter											PCS	common					MIM:105830	17.02.2009	
