Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000156	High-arched palate									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000254										IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000256	Macrocephaly									TAS	common								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000268	Dolichocephaly									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000303	Mandibular prognathia									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000307	Pointed chin									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000388	Otitis media									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000405	Hearing loss, conductive									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000486	Strabismus									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000494	Downward slanting palpebral fissures									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000540	Hypermetropia									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000639	Nystagmus									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000715	Behavioral disturbances									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001176	Large hands									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001250	Seizures									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001263	Developmental retardation									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001319	Neonatal hypotonia									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001347	Hyperreflexia									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001388	Joint laxity									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001420	Isolated cases									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001597	Abnormality of the nails									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001629	Ventricular septal defect									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001631	Atrial septal defect									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001643	Patent ductus arteriosus									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0000295	'Doll-like' facies									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0001833	Large feet									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0002119	Ventriculomegaly									TAS	typical								ISBN-13:978-0721606156	17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0002280	Enlarged cisterna magna									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0002370	Poor coordination									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0002474	Expressive language delay									IEA										17.02.2009	
MIM:117550	SOTOS SYNDROME	MIM:606681	NUCLEAR RECEPTOR-BINDING Su-var, ENHANCER OF ZESTE, AND TRITHORAX DOMAIN PROTEIN 1 ANDROGEN RECEPTOR-ASSOCIATED COREGULATOR 267 NSD1/NUP98 FUSION GENE, INCLUDED	MIM:606681 / wt	NSD1	HP:0002667	Nephroblastoma (Wilms tumor)									IEA										17.02.2009	
