Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of onset ID	Age of onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0000006	Autosomal dominant inheritance																	PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0000404	Deafness												10/67					PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0000645	Exophthalmos									HP:0003581	Onset in adulthood		common					PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0000651	Diplopia																	PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0000670	Carious teeth												rare					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=ced	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0000823	Delayed puberty												1/6					PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0001002	Decreased subcutaneous fat												10/47					PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0001324	Muscle weakness												39%					PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0001324	Muscle weakness												36/92					PMID:15894597	17.02.2009	
MIM:131300	CAMURATI-ENGELMANN DISEASE ENGELMANN DISEASE DIAPHYSEAL DYSPLASIA 1, PROGRESSIVE PROGRESSIVE DIAPHYSEAL DYSPLASIA	MIM:190180	TRANSFORMING GROWTH FACTOR, BETA-1	TGFB1 / wt	TGFB1	HP:0001533	Asthenic habitus												hallmark					PMID:15894597	17.02.2009	
