Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000006	Autosomal dominant inheritance									PCS									MIM:137920	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000089	Renal hypoplasia									PCS	1/23								PMID:15930087	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000093	Proteinuria									PCS	frequent								PMID:15930087	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000101	Chronic renal failure									PCS	frequent								MIM:137920	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000107	Renal cysts									PCS	19/23								PMID:15930087	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000122	Unilateral renal agenesis									PCS	1/23								PMID:15930087	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000077	Abnormality of the kidneys									PCS	78/88 								PMID:15930087	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000813	Bicornuate uterus									PCS	1/23								PMID:15930087	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000833	Glucose intolerance									PCS	frequent								PMID:15930087	17.02.2009	
MIM:137920	RENAL CYSTS AND DIABETES SYNDROME MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5 HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL FJHN, ATYPICAL GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC	MIM:189907	HNF1 HOMEOBOX B TRANSCRIPTION FACTOR, LIVER-SPECIFIC, 3 HEPATOCYTE NUCLEAR FACTOR-1-BETA HEPATIC NUCLEAR FACTOR-1-BETA HEPATOCYTE NUCLEAR FACTOR 2	MIM:189907 / wt; del17q12	HNF1B	HP:0000013	Hypoplasia of the uterus									PCS	1/23								PMID:15930087	17.02.2009	
