Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000006	Autosomal dominant inheritance																		
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000054	Micropenis	FMA:9707	Penis	PATO:0000587	decreased size							rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000086	Ectopic kidney	FMA:7203	Kidney	PATO:0000628	mislocalised							occasional							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000089	Renal hypoplasia	FMA:7203	Kidney	PATO:0000587	decreased size							occasional					GeneReview		
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000171	Microglossia											rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000204	Cleft lip	FMA:59816	Lip	PATO:0000403	cleft							rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000358	Posteriorly rotated ears	FMA:52780	Ear	PATO:0001922	mislocalised posteriorly							very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000393	Microtia											very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000413	External auditory canal atresia	FMA:61734	External acoustic tube	PATO:0001819	atresia							very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000425	Flattened nasal bridge	FMA:52745	Nasal bone	PATO:0000407	flat							occasional							
