Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of onset ID	Age of onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000006	Autosomal dominant inheritance																			
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000054	Micropenis											HPO:sdoelken	rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000086	Ectopic kidney											HPO:sdoelken	occasional							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000089	Renal hypoplasia											PCS	occasional					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=phs		
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000171	Microglossia											HPO:sdoelken	rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000204	Cleft lip											HPO:sdoelken	rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000358	Posteriorly rotated ears											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000393	Microtia											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000413	External auditory canal atresia											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000425	Flattened nasal bridge											HPO:sdoelken	occasional							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000463	Anteverted nostrils											HPO:sdoelken	occasional							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000568	Microphthalmos											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000695	Neonatal teeth											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000835	Adrenal hypoplasia											HPO:sdoelken	occasional							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0000902	Rib fusion											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0001162	Postaxial polydactyly (hands)											PCS	typical					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=phs		
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0001629	Ventricular septal defect											HPO:sdoelken	rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0001643	Patent ductus arteriosus											HPO:sdoelken	rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0001770	Toe syndactyly											HPO:sdoelken	occasional							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0001830	Postaxial polydactyly (feet)											PCS	typical					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=phs		
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0002023	Anal atresia											PCS	occasional					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=phs		
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0002164	Nail dysplasia											HPO:sdoelken	rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0002827	Dislocated hips											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0002937	Hemivertebrae											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0003048	Radial head subluxation											HPO:sdoelken	very rare							
MIM:146510	PALLISTER-HALL SYNDROME POSTAXIAL POLYDACTYLY	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3	MIM:165240-NM_000168.2_c.1998-3481 / wt	GLI3	HP:0003196	Nasal hypoplasia											HPO:sdoelken	rare							
