Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0000006	Autosomal dominant inheritance												PATO:0000460	abnormal			MIM:147250	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0000252	Microcephaly											occasional	PATO:0000460	abnormal			MIM:147250	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0000453	Choanal atresia											8/14	PATO:0000460	abnormal			PMID:11471164	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0000601	Hypotelorism											8/14	PATO:0000460	abnormal			PMID:11471164	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0000830	Hypopituitarism											occasional	PATO:0000460	abnormal			PMID:11471164	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0000861	Isolated growth hormone deficiency											5/7	PATO:0000460	abnormal			PMID:925821	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0001360	Holoprosencephaly											frequent	PATO:0000460	abnormal			MIM:147250	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0001509	Short stature											7/14	PATO:0000460	abnormal			PMID:11471164	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED	MIM:600725	SONIC HEDGEHOG	MIM:600725 / wt	SHH	HP:0001739	Abnormality of the nasopharynx											1/14	PATO:0000460	abnormal			PMID:11471164	17.02.2009	
MIM:147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR FUSED INCISORS SINGLE UPPER CENTRAL INCISOR SINGLE CENTRAL MAXILLARY INCISOR SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED SMMCI SYNDROME, INCLUDED			del18p; del22q11.2; del7q	SHH	HP:0002916	Abnormality of the chromosomes											2/14	PATO:0000460	abnormal			PMID:11471164	17.02.2009	
