Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / wt; del1q42.3-44; MIM:600024 / MIM:600024	LBR	HP:0000006	Autosomal dominant inheritance											PCS						PMID:19468205; PMID:16007606		
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44; MIM:600024.0001 / MIM:600024.0001	LBR	HP:0002007	Frontal bossing	FMA:63864	Forehead	PATO:0001482	prominent							PCS						PMID:12118250; PMID:16007606		
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0000256	Macrocephaly	FMA:46565	Skull	PATO:0000586	increased size							PCS	2/11					PMID:14684694		
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001162	Postaxial polydactyly (hands)	FMA:85518	Digit	PATO:0000470	present in greater numbers in organism							PCS	1/11					PMID:6794302; PMID:14684694		
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001263	Developmental retardation											PCS	3/11					PMID:14684694		
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001250	Seizures											PCS	2/11					PMID:14684694		
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024.0001 / MIM:600024.0001	LBR	HP:0001629	Ventricular septal defect	FMA:7133	Interventricular septum	PATO:0000609	closure incomplete							PCS	1/11					PMID:12118250		
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / wt; del1q42.3-44; MIM:600024 / MIM:600024	LBR	HP:0001874	Abnormality of neutrophil											PCS	obligate			Need term hypolobulation or hyposegmentation of neutrophil nuclei		PMID:19468205; PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / wt; del1q42.3-44; MIM:600024 / MIM:600024	LBR	HP:0002916	Abnormality of the chromosomes											PCS	hallmark			Need term for increased chromatin condensation (coarse or densely clumped); this is in granulocytes but could be general term		PMID:19468205; PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0003502	Mild short stature											PCS	2/11					PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / wt; del1q42.3; MIM:600024 / MIM:600024	LBR	HP:0001911	Abnormality of granulocytes											PCS	hallmark					PMID:19468205	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001830	Postaxial polydactyly (feet)											PCS	1/11					PMID:6794302; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024.0001 / MIM:600024.0001	LBR	HP:0006004	Short third, fourth, fifth metacarpals											PCS	1/11					PMID:12118250; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024.0001 / MIM:600024.0001	LBR	HP:0010041	Hypoplastic/short 3rd metacarpal											PCS	1/11					PMID:12118250; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024.0001 / MIM:600024.0001	LBR	HP:0010047	Hypoplastic/short 5th metacarpal											PCS	1/11					PMID:12118250; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0006887	Mental retardation, progressive											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0009099	Median cleft palate											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0002069	Generalized tonic-clonic seizures											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0000403	Recurrent otitis media											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0000316	Hypertelorism											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0000425	Flattened nasal bridge											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0001508	Failure to thrive											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0000486	Strabismus											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0000164	Abnormality of the teeth											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0000212	Gingival hyperplasia											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0001537	Umbilical hernia											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0009027	Foot dorsiflexor weakness											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0001761	Pes cavus											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0006895	Lower limb hypertonia											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	del1q42.3-44	LBR	HP:0002395	Lower limb hyperreflexia											PCS						PMID:16007606	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001875	Neutropenia											PCS	1/11					PMID:10457411; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001906	Mild thrombocytopenia											PCS	1/11					PMID:10457411; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0003314	Hyperkyphosis											PCS	1/11					PMID:10457411; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0009824	Hypoplasia involving bones of the upper limbs											PCS	1/11					PMID:10457411; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0000964	Eczema											PCS	1/11					PMID:10457411; PMID:14684694	Feb 19, 2010	
MIM:169400	PELGER-HUET ANOMALY	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001902	Giant platelets											PCS	1/11					PMID:10457411	Feb 19, 2010	
