Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0000006	Autosomal dominant inheritance											IEA							17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0000926	Platyspondyly									HP:0003578	Onset in childhood	PCS	typical					ISBN-13:978-0721606156	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0001156	Brachydactyly											PCS	typical					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0001380	Ligamentous laxity											PCS	typical					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0001388	Joint laxity											PCS	typical					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0004236	Irregular carpal bones											PCS	typical					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002515	Waddling gait									HP:0003580	Onset in early childhood	PCS	frequent					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002650	Scoliosis			PATO:0002049	lateral and rotional curvature							PCS	typical					ISBN-13:978-0721606156	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002808	Kyphosis											PCS	typical					ISBN-13:978-0721606156	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA SPONDYLOEPIPHYSEAL DYSPLASIA, PSEUDOACHONDROPLASTIC	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002857	Genu valgum											PCS	typical					ISBN-13:978-0721606156	17.02.2009	
