Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation	Description	Orthologs	Pub	Date Created	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000248	Brachycephaly									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000272	Malar hypoplasia									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000283	Broad face									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000365	Hearing loss									TEA	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000431	Broad nasal bridge									TEA	typical							ISBN-13:978-0721606156	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000715	Behavioral disturbances									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000752	Hyperactivity									TEA	typical							MIM:182290	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0000079	Abnormality of the urinary tract									TEA	occasional							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0001156	Brachydactyly									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0009830	Peripheral neuropathy									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0001265	Hyporeflexia									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0001420	Isolated cases									TEA								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0001609	Hoarse voice									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0002360	Sleep disturbances									TEA	common							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
MIM:182290	SMITH-MAGENIS SYNDROME SMITH-MAGENIS CHROMOSOME REGION, INCLUDED	MIM:607642	RETINOIC ACID-INDUCED GENE 1	del17p11.2; MIM:607642 / wt	RAI1	HP:0002564	Cardiac malformation									TEA	frequent							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=sms	17.02.2009	
