Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0000006	Autosomal dominant inheritance											IEA						MIM:184460	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0003189	Long nose											PCS	frequent					PMID:10069712	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0000405	Hearing loss, conductive									HP:0003601	Onset in utero or at birth	PCS	hallmark					MIM:184460	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0000466	Limited neck range of motion											PCS	3/6					PMID:10069712; PMID:2319886	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0000540	Hypermetropia											PCS	hallmark					MIM:184460	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0001770	Toe syndactyly											PCS	frequent					PMID:10069712; PMID:2319886	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0002949	Fused cervical vertebrae											PCS	2/5					PMID:2319886	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0007943	Congenital stapes ankylosis											PCS	hallmark					MIM:184460	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0009651	Broad phalanges of the thumb											PCS	hallmark					MIM:184460	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0009882	Hypoplasia of the distal phalanges of the hand											PCS	common					PMID:2319886	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0010055	Broad hallux											PCS	hallmark					MIM:184460	17.02.2009	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0000430	Hypoplastic nasal alae											PCS	frequent					PMID:10069712	15.02.2010	
MIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES SYNDACTYLY TEUNISSEN-CREMERS SYNDROME STAPES ANKYLOSIS SYNDROME WITHOUT SYMPHALANGISM	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt 		NOG	HP:0009765	Long columella											PCS	frequent					PMID:2319886	15.02.2010	
