Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0000006	Autosomal dominant inheritance			IEA	IEA									17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0000691	Microdontia			ITM	ITM									17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0000951	Abnormality of the skin			IEA	IEA									17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0001598	Concave nail			IEA	IEA									17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0001807	Ridged nail			IEA	IEA									17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0001803	Nail pits			IEA	IEA									17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0001792	Small nail			PCS	PCS							MIM:189500		17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0008070	Sparse hair			PCS	PCS							MIM:189500		17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0002213	Fine hair			PCS	PCS							MIM:189500		17.02.2009	
MIM:189500	WITKOP SYNDROME	MIM:142983	MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 1		MSX1	HP:0006349	Agenesis of permanent teeth			IEA	IEA									17.02.2009	
