Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000047	Hypospadias	FMA:19650	External urethral orifice	PATO:0001920	mislocalised ventrally														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000074	Ureteropelvic junction obstruction	FMA:15898	Ureteropelvic junction	PATO:0000648	obstructed														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000076	Vesicoureteral reflux	GO:0060073	micturition	PATO:0001507	disrupted														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000086	Ectopic kidney	FMA:7203	Kidney	PATO:0000628	mislocalised														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000110	Renal dysplasia	FMA:7203	Kidney	PATO:0000640	dysplastic														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000126	Hydronephrosis	FMA:15575	Renal pelvis	PATO:0001571	dilated														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000239	Large fontanelles	FMA:75438	Fontanelle	PATO:0000586	increased size														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000453	Choanal atresia	FMA:76585	Set of choanae	PATO:0001819	atresia														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000766	Abnormality of the sternum	FMA:7485	Sternum	PATO:0000001	quality								PATO:0000460	abnormal					
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0000772	Abnormality of the ribs	FMA:7574	Rib	PATO:0000001	quality								PATO:0000460	abnormal					
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0001159	Syndactyly	FMA:85518	Digit	PATO:0000642	fused with	FMA:85518	Digit												
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0001195	Single umbilical artery	FMA:18820	Umbilical artery	PATO:0002001	has fewer parts of type														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0001199	Triphalangeal thumb	FMA:35477	Phalanx of thumb	PATO:0002002	has extra parts of type														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0001420	Isolated cases																		
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0001508	Failure to thrive	FMA:20394	Human body	PATO:0000583	decreased weight														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0001514	Postnatal growth retardation	GO:0035264	multicellular organism growth	PATO:0000911	decreased rate														
MIM:192350	VATER ASSOCIATION VACTERL ASSOCIATION, INCLUDED	MIM:142989	HOMEOBOX D13		HOXD13	HP:0001515	Prenatal growth deficiency	GO:0048589	developmental growth	PATO:0000911	decreased rate														
