Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000007	Autosomal recessive inheritance																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000023	Inguinal hernia																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000028	Cryptorchidism																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000047	Hypospadias	FMA:19650	External urethral orifice	PATO:0001920	mislocalised ventrally														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000054	Micropenis	FMA:9707	Penis	PATO:0000587	decreased size														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000143	Rectovaginal fistula	FMA:14544	Rectum	MPATH:70	null	FMA:19949	Vagina												
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000156	High-arched palate																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000175	Cleft palate	FMA:54549	Palate	PATO:0000403	cleft														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000204	Cleft lip	FMA:59816	Lip	PATO:0000403	cleft														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000254	Frontal bossing	FMA:63864	Forehead	PATO:0000001	quality														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000256	Macrocephaly	FMA:46565	Skull	PATO:0000586	increased size														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000260	Wide anterior fontanel	FMA:75439	Anterior fontanelle	PATO:0000600	increased width														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000269	Prominent occiput																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000286	Epicanthal folds																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000316	Hypertelorism	FMA:54450	Left eye	PATO:0000374	increased distance	FMA:54449	Right eye												
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000322	Short philtrum	FMA:59819	Philtrum	PATO:0000574	decreased length														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000358	Posteriorly rotated ears	FMA:52780	Ear	PATO:0001922	mislocalised posteriorly														
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000377	Abnormal form of ears	FMA:52781	External ear	PATO:0000051	morphology								PATO:0000460	abnormal					
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000384	Preauricular skin tag																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000431	Broad nasal bridge																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000486	Strabismus																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000494	Downward slanting palpebral fissures																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000639	Nystagmus																		
MIM:200990	ACROCALLOSAL SYNDROME SCHINZEL ACROCALLOSAL SYNDROME	MIM:165240	GLI-KRUPPEL FAMILY MEMBER 3		GLI3	HP:0000648	Optic atrophy	FMA:50863	Optic nerve	PATO:0001623	atrophied														
