Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000007	Autosomal recessive inheritance											PCS						ISBN-13:0-19-262896-8; http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=donnai	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0003126	Low-molecular-weight proteinuria											PCS	100%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=donnai	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000260	Wide anterior fontanel											PCS	9/12					PMID:12923867	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000316	Hypertelorism											PCS	12/12					PMID:12923867	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000358	Posteriorly rotated ears											PCS	7/11					PMID:12923867	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000369	Low-set ears											PCS	common					PMID:12923867	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000374	Sensorineural deafness											PCS	5/5					PMID:12923867	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000425	Flattened nasal bridge											PCS	hallmark					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=donnai	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000494	Downward slanting palpebral fissures											PCS	8/11					PMID:12923867	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000518	Cataract											PCS	very rare					PMID:9066882	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000536	Prominent eyes											PCS	hallmark					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=donnai	17.02.2009	
MIM:222448	DONNAI-BARROW SYNDROME DBS/FOAR SYNDROME DIAPHRAGMATIC HERNIA, EXOMPHALOS, ABSENT CORPUS CALLOSUM, HYPERTELORISM, MYOPIA, SENSORINEURAL DEAFNESS, AND PROTEINURIA	MIM:600073	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 2 MEGALIN	MIM:600073 / MIM:600073	LRP2	HP:0000541	Detached retina											PCS	frequent					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=donnai	17.02.2009	
