Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000007	Autosomal recessive inheritance											PCS						PMID:20080219	17.02.2009	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0001250	Seizures											PCS	3/5					PMID:20080219	17.02.2009	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0001249	Mental retardation											PCS	7/7					PMID:20080219	17.02.2009	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0003155	Elevated alkaline phosphatase											PCS	7/7					PMID:20080219	17.02.2009	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0009882	Hypoplasia of the distal phalanges of the hand											PCS	7/7					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000316	Hypertelorism											PCS	6/7					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000637	Wide palpebral fissures											PCS	common					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0001792	Hypoplastic nails											PCS	common					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0001252	Muscular hypotonia									HP:0003666	Onset at birth or early infancy	PCS	5/5					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0002251	Congenital megacolon											PCS	1/7					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000431	Broad nasal bridge											PCS	6/7					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000455	Broad nasal tip											PCS	6/7					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0002714	Downturned corners of mouth											PCS	6/7					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000219	Thin upper lip											PCS	common					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000358	Posteriorly rotated ears											PCS	common					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0002019	Constipation											PCS	2/5					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000204	Cleft lip											PCS	1/7					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0008611	Sensorineural hearing loss, mild to moderate											PCS	2/3					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000238	Hydrocephalus											PCS	1/3					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0000582	Upslanting palpebral fissures											PCS	common					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0001216	Delayed maturation/delayed ossification of carpal bones											PCS	2/3					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0001545	Anteriorly placed anus											PCS	2/5					PMID:20080219	15.02.2010	
MIM:239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION					HP:0001090	Large eyes											PCS	common					PMID:20080219	15.02.2010	
