Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000006	Autosomal dominant inheritance									TAS								OMIM:247200	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000023	Inguinal hernia									TAS								OMIM:247200	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000028	Cryptorchidism									TAS								OMIM:247200	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000125	Pelvic kidney									TAS								OMIM:247200	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000175	Cleft palate	FMA:54549	null	PATO:0000403	cleft					TAS								OMIM:247200	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000210	Micrognathia	FMA:54396	null	PATO:0000587	decreased size					PCS	26/27							PMID:1671808	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000252	Microcephaly	FMA:46565	null	PATO:0000587	decreased size					PCS	17/25							PMID:1671808	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000358	Posteriorly rotated ears	FMA:52780	null	PATO:0001922	mislocalised posteriorly					PCS	hallmark							PMID:12621583	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000369	Low-set ears	FMA:52780	null	PATO:0001476	decreased position					PCS	14/27							PMID:1671808	17.02.2009	
MIM:247200	MILLER-DIEKER LISSENCEPHALY SYNDROME MILLER-DIEKER SYNDROME CHROMOSOME REGION, INCLUDED	MIM:605066	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN, EPSILON ISOFORM 14-3-3-EPSILON		YWHAE	HP:0000518	Cataract									TAS								OMIM:247200	17.02.2009	
