Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0000007	Autosomal recessive inheritance									PCS				male					PMID:8162013		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0000022	Abnormality of male internal genitalia									PCS	hallmark								PMID:4144375		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2			GO:0001880	Mullerian duct regression	PATO:0001508	abolished					PCS	hallmark								PMID:4144375; PMID:11760020		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0003117	Abnormality of circulating hormone level									PCS	50%						low or undetectable levels of serum anti-MŸllerian hormone (AMH)		PMID:8162013; PMID:8872466		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0000028	Cryptorchidism									PCS	hallmark								PMID:9302384		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0000023	Inguinal hernia									PCS	80%								PMID:9302384		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0008689	Bilateral cryptorchidism									PCS	20%								PMID:9302384; PMID:11760020		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0001939	Abnormality of metabolism/homeostasis	GO:0008152	metabolic process	PATO:0000001	quality					PCS	hallmark	PATO:0000460	abnormal						PMID:8162013		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2			FMA:7210	Testis	PATO:0001667	attached to	FMA:18245	Uterine tube			PCS	hallmark	PATO:0000460	abnormal						PMID:9302384; PMID:11760020		
MIM:261550	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II			MIM:600957 / MIM:600957; MIM:600956 / MIM:600956	AMH, AMHR2	HP:0003251	Male infertility									PCS	common								PMID:11760020		
