Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of onset ID	Age of onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000007	Autosomal recessive inheritance																			
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000028	Cryptorchidism											PCS	50%					PMID:9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000062	Ambiguous genitalia											PCS	9/196					PMID:9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000046	Scrotal hypoplasia											PCS	frequent					PMID:9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000047	Hypospadias											PCS	50%					PMID:9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000048	Bifid scrotum											PCS	occasional					PMID:9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000054	Micropenis											PCS	typical					PMID:9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000088	Cystic kidney											PCS	occasional					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=slo		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000089	Renal hypoplasia											PCS	occasional					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=slo		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000126	Hydronephrosis											PCS	frequent					ISBN-13: 978-0721606156		
