Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0000007	Autosomal recessive inheritance									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0000210	Micrognathia									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0000248	Brachycephaly									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0000486	Strabismus									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0000508	Ptosis									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0000765	Abnormality of the thorax									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0001270	Motor retardation									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0001321	Cerebellar hypoplasia									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0001498	Carpal bone hypoplasia									IEA										17.02.2009	
MIM:274000	CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB TAR SYNDROME TETRAPHOCOMELIA-THROMBOCYTOPENIA SYNDROME, INCLUDED			del1q21.1		HP:0001509	Short stature									IEA										17.02.2009	
