Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000007	Autosomal recessive inheritance																		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000028	Cryptorchidism											2/3					PMID:3066902		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000046	Scrotal hypoplasia											1/3					PMID:3066902		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000151	Absent uterus											rare					MIM:276820		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000276	Long face											2/3					PMID:3066902		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000475	Broad neck											3/5					PMID:3066902		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000884	Prominent sternum											2/3					PMID:3066902		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000885	Broad ribs											3/5					PMID:3066902		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0000916	Broad clavicles											3/5					PMID:3066902		
MIM:276820	ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY AL-AWADI/RAAS-ROTHSCHILD SYNDROME SCHINZEL PHOCOMELIA SYNDROME	MIM:601570	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 7A	MIM:601570.0001 / MIM:601570.0001	WNT7A	HP:0001171	Ectrodactyly (hands)											frequent					MIM:276820		
