Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0000365	Hearing loss			PATO:0000634	unilateral							PCS	rare	PATO:0000460	abnormal	how to say unilateral; affected side only?		MIM:308050	17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0005990	Hypoplastic thyroid			PATO:0000634	unilateral							PCS	rare	PATO:0000460	abnormal	how to say unilateral; affected side only?		MIM:308050	17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0000882	Hypoplastic scapulae			PATO:0000634	unilateral							PCS	occasional	PATO:0000460	abnormal	how to say unilateral; affected side only?		MIM:308050	17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0000962	Hyperkeratosis			PATO:0000634	unilateral							PCS	common	PATO:0000460	abnormal	how to say unilateral; affected side only?		PMID:10710233	17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0001372	Joint contractures			PATO:0000634	unilateral							PCS	occasional	PATO:0000460	abnormal	how to say unilateral; affected side only?		PMID:10710233	17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0001423	X-linked dominant inheritance											PCS							17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0001425	Heterogeneous											PCS							17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0001597	Abnormality of the nails			PATO:0000634	unilateral							PCS	common	PATO:0000460	abnormal	how to say unilateral; affected side only?		PMID:12668600	17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0002564	Cardiac malformation			PATO:0000634	unilateral							PCS	occasional	PATO:0000460	abnormal	how to say unilateral; affected side only?		PMID:10710233	17.02.2009	
MIM:308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS ICHTHYOSIFORM ERYTHRODERMA, UNILATERAL, WITH IPSILATERAL MALFORMATIONS, ESPECIALLY ABSENCE DEFORMITY OF LIMBS			46X (MIM:300275) / X(Y); 46X (MIM:300205) / X(Y)	NSDHL; EBP	HP:0001374	Congenital hip dislocation			PATO:0000634	unilateral							PCS	occasional	PATO:0000460	abnormal	how to say unilateral; affected side only?		PMID:10710233	17.02.2009	
