Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0000252	Microcephaly	FMA:46565	Skull	PATO:0000587	decreased size					IEA							I think this may need to be removed. GeneReviews cites PMID:18571143 as being associated with a PMD-like syndrome. I saw no mention of microcephaly in reviewed literature.			17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0000648	Optic atrophy	FMA:50863	Optic nerve	PATO:0001623	atrophied					PCS	frequent								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001250	Seizures									PCS	occasional								PMID:18485258	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001251	Ataxia	GO:0050881	musculoskeletal movement	PATO:0000770	uncoordinated					PCS	hallmark								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001252	Muscular hypotonia	FMA:30316	Muscle	PATO:0001619	decreased tonicity					PCS	hallmark	PATO:0001869	pathological						http://www.ncbi.nlm.nih.gov/books/NBK1182/	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0002478	Progressive spastic quadriplegia									PCS	hallmark								http://www.ncbi.nlm.nih.gov/books/NBK1182/	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001260	Dysarthria									PCS	common								http://www.ncbi.nlm.nih.gov/books/NBK1182/	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001265	Hyporeflexia									PCS	4/7								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001266	Choreoathetosis									PCS	common								http://www.ncbi.nlm.nih.gov/books/NBK1182/	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001332	Dystonia	FMA:30316	Muscle	PATO:0001814	dystonicity					PCS	hallmark								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001419	X-linked recessive inheritance									PCS							PMID:3598129 included "the involvement of several males in a lineage in a manner consistent with an X-linked recessive mode of inheritance" to be essential in making the diagnosis of PMD. I wasn't sure if inheritance should include a frequency.		http://www.ncbi.nlm.nih.gov/books/NBK1182/	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0000639	Nystagmus							HP:0003623	Neonatal onset	PCS	obligate								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0002168	Scanning speech									IEA							I didn't see this particular term used in my review. GeneReviews says verbal expression is severely limited but the file already had Dysarthria. Not sure if this should be retained. They also indicate that comprehension is quite often high, despite the speech difficulties and I wasn't sure how to capture that.			17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0002361	Psychomotor degeneration							HP:0003593	Infantile onset	PCS	obligate								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0003269	Sudanophilic leukodystrophy									PCS	common								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0003593	Infantile onset									PCS									http://www.ncbi.nlm.nih.gov/books/NBK1182/	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0003677	Slow progression									PCS	hallmark								PMID:3598129	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0001255	Psychomotor developmental delay									PCS	hallmark								PMID:18485258	17.02.2009	
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0100543	Cognitive impairment									PCS	hallmark								http://www.ncbi.nlm.nih.gov/books/NBK1182/		
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1			FMA:54540	Oligodendrocyte	PATO:0000638	apoptotic					PCS	common	PATO:0000460	abnormal						PMID:11093273; http://www.ncbi.nlm.nih.gov/books/NBK1182/		
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0007256	Pyramidal signs			PATO:0001324	bilateral symmetry					PCS	hallmark								PMID:3598129		
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0002457	Abnormal head movements			PATO:0000441	repetitive					PCS	typical						Oscillatory motions of the head; could this be head titubation?		PMID:3598129		
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0004886	Congenital laryngeal stridor									PCS	occasional								PMID:3598129; PMID:18485258		
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0002015	Dysphagia									PCS	common						Also said pharyngeal weakness in GeneReviews. Should these be two separate annotations?		PMID:18485258		
MIM:312080	PELIZAEUS-MERZBACHER DISEASE	MIM:300401	PROTEOLIPID PROTEIN 1	dupXq22.2; MIM:300401 / MIM:300401	PLP1	HP:0002520	Abnormal myelination									PCS	hallmark						tigroid demyelination; wasn't clear if this was abnormal myelination of the loss of myelin (demyelination); GeneReviews says diffuse abnormal myelin on MRI and later, defective CNS myelination.		PMID:3598129		
