Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000202	Cleft lip/palate									PCS	occasional								ISBN-13:978-0721606156	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000193	Bifid uvula	FMA:55022	Uvula	PATO:0000403	cleft					PCS	occasional								ISBN-13:978-0721606156	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000204	Cleft lip	FMA:59816	Lip	PATO:0000403	cleft					PCS	occasional								ISBN-13:978-0721606156	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000208	Submucous cleft lip/palate									PCS	rare						Smith's mentions cleft lip w/wo palate and PMID:12687501 mentions submucous occult cleft. The overall percent of all combinations of cleft lip, palate uvula appears to be 17% but each individually is lower. Should these remain split or be combined?		PMID:12687501	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000248	Brachycephaly									PCS	54%								PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000252	Microcephaly	FMA:46565	Skull	PATO:0000587	decreased size					PCS	61%								PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000260	Wide anterior fontanel	FMA:75439	Anterior fontanelle	PATO:0000600	increased width					PCS	77%								http://www.ncbi.nlm.nih.gov/books/NBK1191/	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0001476	Delayed closure of the anterior fontanelle									PCS	77%								http://www.ncbi.nlm.nih.gov/books/NBK1191/	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000307	Pointed chin	FMA:46495	Chin	PATO:0000944	sharpness					PCS	common								ISBN-13:978-0721606156	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000407	Sensorineural hearing impairment	FMA:65132	Nerve	HP:0000404	Deafness					PCS	58%								PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000391	Thickened helices	FMA:60992	Helix	PATO:0000591	increased thickness					PCS	58%								PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000425	Flattened nasal bridge	FMA:52745	Nasal bone	PATO:0000407	flat					PCS	common								PMID12687501; PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000457	Flat nose	FMA:46472	Nose	PATO:0000407	flat					PCS	67%								PMID:12687501	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000486	Strabismus									PCS	67%								PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000490	Deeply set eye									PCS	common								PMID:12687501; PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000540	Hypermetropia									PCS	typical								PMID:12687501; PMID:17918734	17.02.2009	
MIM:607872	CHROMOSOME 1p36 DELETION SYNDROME			del1p36		HP:0000545	Myopia									PCS	40%								PMID:12687501; PMID:17918734	17.02.2009	
