Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000006	Autosomal dominant inheritance											IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000028	Cryptorchidism											IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000047	Hypospadias	FMA:19650	External urethral orifice									IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000048	Bifid scrotum	FMA:18252	Scrotum									IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000054	Micropenis	FMA:9707	Penis									IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000089	Renal hypoplasia	FMA:7203	Kidney									IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000156	High-arched palate											IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000175	Cleft palate	FMA:54549	Palate									IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000193	Bifid uvula	FMA:55022	Uvula									IEA							17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6 MICROPHTHALMIA WITH BRAIN AND DIGIT DEVELOPMENTAL ANOMALIES ANOPHTHALMIA, CLINICAL, WITH MICROGNATHIA, MALFORMED EARS, DIGITAL ANOMALIES, AND ABNORMAL EXTERNAL GENITALIA	MIM:112262	BONE MORPHOGENETIC PROTEIN 4 BMP2B1	MIM:112262 / wt	BMP4	HP:0000210	Micrognathia	FMA:54396	Jaw									IEA							17.02.2009	
