Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000006	Autosomal dominant inheritance									PCS							For MCOPS6, I am counting all 6 patients from PMID:12794703 and the first 5 patients from Table 3 of PMID:18252212.		PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000028	Cryptorchidism									PCS	2/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000047	Hypospadias	FMA:19650	External urethral orifice	PATO:0001920	mislocalised ventrally					PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000048	Bifid scrotum	FMA:18252	Scrotum	PATO:0000403	cleft					PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000054	Micropenis	FMA:9707	Penis	PATO:0000587	decreased size					PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000089	Renal hypoplasia	FMA:7203	Kidney	PATO:0000645	hypoplastic					PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000156	High-arched palate									PCS	3/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000175	Cleft palate	FMA:54549	Palate	PATO:0000403	cleft					PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4		BMP4	HP:0000193	Bifid uvula	FMA:55022	Uvula	PATO:0000403	cleft					IEA							I didn't see this mentioned in the papers I reviewed.			17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000347	Micrognathia	FMA:54396	Jaw	PATO:0000587	decreased size					PCS	3/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000171	Microglossia	FMA:54640	Tongue	PATO:0000587	decreased size					PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000248	Brachycephaly									PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4		BMP4	HP:0000272	Malar hypoplasia	FMA:52747	Zygomatic bone	PATO:0000645	hypoplastic					IEA							Didn't see this mentioned. The mandible with micrognathia, but nothing specifically mentioning malar hypoplasia.			17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000278	Retrognathia									PCS	2/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000324	Facial asymmetry	FMA:24728	Face	PATO:0000616	asymmetrical					PCS	1/10								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4		BMP4	HP:0000348	High forehead									IEA							Didn't see this phenotype mentioned.			17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000358	Posteriorly rotated ears	FMA:52780	Ear	PATO:0001922	mislocalised posteriorly					PCS	1/11								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000369	Low-set ears	FMA:52780	Ear	PATO:0001476	decreased position					PCS	1/11								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000412	Prominent ears									PCS	1/11								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000568	Microphthalmos									PCS	hallmark								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000821	Hypothyroidism									PCS	2/9								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000830	Hypopituitarism	GO:0046903	secretion	PATO:0000911	decreased rate					PCS	2/6						Only two mentioned lower hormone secretion and this is already captured as hypothyroidism. Don't know if we need both terms.		PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0000835	Adrenal hypoplasia									PCS	1/6								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0003319	Abnormality of the cervical spine									PCS	1/10								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4		BMP4	HP:0000954	Transverse palmar creases									IEA							I didn't see this specifically mentioned.			17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0004209	Clinodactyly of the 5th finger									PCS	1/11								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0001177	Preaxial polydactyly (hands)	FMA:24938	Thumb	HP:0001161	Polydactyly (hands)					PCS	2/11								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0001255	Psychomotor developmental delay									PCS	5/9								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0001357	Plagiocephaly									PCS	1/9								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000618	Blindness									PCS	8/11								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4		BMP4	HP:0001770	Toe syndactyly	FMA:25046	Toe	HP:0001159	Syndactyly					IEA							Didn't see this mentioned for toes; one patient for fingers only.			17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0002120	Cerebral cortical atrophy									PCS	2/9								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	del14q22-q23	BMP4	HP:0001252	Muscular hypotonia									PCS	2/6	PATO:0000396							PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0010240	Hypoplasia of the middle phalanges of the hand	FMA:35483	Phalanx of middle finger	PATO:0000645	hypoplastic					PCS	1/11								PMID:12794703; PMID:18252212	17.02.2009	
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; del14q22-q23	BMP4	HP:0001485	Anophthalmia, clinical									PCS	9/10						I've dropped allele 112262.0002 from this frequency count, since neither eye is anophthalmic.		PMID:12794703; PMID:18252212		
MIM:607932	MICROPHTHALMIA, SYNDROMIC 6	MIM:112262	BONE MORPHOGENETIC PROTEIN 4	MIM:112262.0001 / wt; MIM:112262.0002 / wt; del14q22-q23	BMP4	HP:0000924	Abnormality of the musculoskeletal system									PCS	5/10								PMID:12794703; PMID:18252212		
