Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000006	Autosomal dominant inheritance											PCS						PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000175	Cleft palate											PCS	common					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000193	Bifid uvula											PCS	common					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000210	Micrognathia											PCS						PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000238	Hydrocephalus					FMA:20935	Cerebrospinal fluid					PCS	occasional					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000272	Malar hypoplasia											PCS	typical					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000278	Retrognathia											PCS	typical					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000316	Hypertelorism					FMA:54449	Right eye					PCS	hallmark					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000520	Proptosis											PCS	typical					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000577	Exotropia											IEA							17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000592	Blue sclerae											PCS	frequent					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000766	Abnormality of the sternum											PCS	common	PATO:0000460	abnormal	CHANGE TO Cervical spine instability		PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000977	Soft skin											PCS	frequent	PATO:0000460	abnormal			PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0001162	Postaxial polydactyly (hands)											PCS						PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0001166	Arachnodactyly											PCS	common					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0001249	Mental retardation											PCS						PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0001263	Developmental retardation											PCS	15%					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0001363	Craniosynostosis											PCS	typical					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0001388	Joint laxity											PCS	common					PMID:16928994	17.02.2009	
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0001425	Heterogeneous											PCS						PMID:16928994	17.02.2009	
