Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0002507	Semilobar holoprosencephaly							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0001274	Agenesis of corpus callosum							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1									HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. Undivided thalamus ( anon term)			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0000871	Panhypopituitarism							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. 			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0008501	Median cleft lip/palate							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. 			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0001539	Omphalocele							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. 			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0001263	Developmental retardation							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. 			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0000601	Hypotelorism							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. 			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1	HP:0000400	Large ears							HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. 			Feb 3, 2010	
MIM:610828	HOLOPROSENCEPHALY 7	MIM:601309	PATCHED, DROSOPHILA, HOMOLOG OF, 1 PTC	Heterozygous	PTCH1			FMA:75770	Anterior nasal spine of maxilla	PATO:0000645	hypoplastic			HP:0001455	Usually autosomal dominant							Dominant due to haploinsufficiency. Anonymouse term created in HPO			Feb 3, 2010	
