Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2	HP:0000272	Malar hypoplasia	FMA:52747	Zygomatic bone	PATO:0000645	hypoplastic			HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2	HP:0000175	Cleft palate	FMA:54549	Palate	PATO:0000403	cleft			HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2	HP:0000204	Cleft lip	FMA:59816	Lip	PATO:0000403	cleft			HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2	HP:0001162	Postaxial polydactyly (hands)	FMA:75592	Set of fingers	PATO:0002002	has extra parts of type			HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2	HP:0000871	Panhypopituitarism	GO:0003008^OBO_REL:has_participant(FMA:74627)	system process that has_participant FMA:74627	PATO:0001558	lacking processual parts			HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2			FMA:74627	Adenohypophysis	PATO:0000462	absent			HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2	HP:0000601	Hypotelorism	FMA:54450	Left eye	PATO:0000375	decreased distance	FMA:54449	Right eye	HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0001/+	GLI2	HP:0001338	Partial agenesis of the corpus callosum	GO:0048513^OBO_REL:has_participant(FMA:86464)	organ development that has_participant FMA:86464	PATO:0000297	arrested			HP:0001463	Autosomal dominant with variable expression and incomplete penetrance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0002/+	GLI2	HP:0006988	Alobar holoprosencephaly	GO:0070986 left/right axis specification	PATO:0000460	abnormal			HP:0000006	Autosomal dominant inheritance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0002/+	GLI2	HP:0000601	Hypotelorism	FMA:54450	Left eye	PATO:0000375	decreased distance	FMA:54449	Right eye	HP:0000006	Autosomal dominant inheritance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0002/+	GLI2	HP:0002744	Bilateral cleft lip/palate	FMA:54549	Palate	PATO:0000403	cleft			HP:0000006	Autosomal dominant inheritance	HP:0003593	Early onset				this needs separating out at the level of definition. This is done in HP_XP		PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0002/+	GLI2	HP:0000252	Microcephaly	FMA:7154	Head	PATO:0000587	decreased size			HP:0000006	Autosomal dominant inheritance	HP:0003593	Early onset						PMID: 14581620	Oct 27, 2009	
MIM:610829	HOLOPROSENCEPHALY 9	MIM:165230	GLI-KRUPPEL FAMILY MEMBER 2	MIM:165230.0002/+	GLI2			FMA:75150	Dentition	PATO:0002001	has fewer parts of type	FMA:12823	Incisor tooth	HP:0000006	Autosomal dominant inheritance	HP:0003593	Early onset				no HPO term		PMID: 14581620	Oct 27, 2009	
