Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0003745	Sporadic									PCS									PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0001249	Mental retardation									PCS	100%								PMID:20678247; PMID:19921647		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0001999	Facial dysmorphism									PCS	100%								PMID:20678247; PMID:19921647		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0002116	Deficiency of speech development									PCS	10/13								PMID:20678247; PMID:19921647		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0002376	Developmental regression									PCS	2/13								PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0100024	Conspicuously happy disposition									PCS	4/13								PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0000752	Hyperactivity									PCS	3/13								PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0000718	Aggressive behavior									PCS	3/13								PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0002360	Sleep disturbances									PCS	2/13								PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0001518	Low birth weight									PCS	6/17								PMID:20678247; PMID:19921647		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0001510	Growth retardation									PCS	5/13								PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0001513	Obesity									PCS	3/13								PMID:20678247		
MIM:613406	CHROMOSOME 15q24 DELETION SYNDROME			del15q24		HP:0000252	Microcephaly									PCS	3/17								PMID:20678247; PMID:19921647		
