Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000006	Autosomal dominant inheritance									PCS									PMID:18425797	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000175	Cleft palate	FMA:54549	Palate	PATO:0000403	cleft					PCS	rare								PMID:4436358	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000324	Facial asymmetry	FMA:24728	Face	PATO:0000616	asymmetrical					PCS	20%								PMID:4436358	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000405	Conductive hearing impairment									PCS	5/24								PMID:9875048	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000407	Sensorineural hearing impairment									PCS	8/24								PMID:9875048	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000466	Limited neck range of motion									PCS	hallmark								PMID:1739048	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000470	Short neck	FMA:7155	Neck	PATO:0000574	decreased length					PCS	hallmark								PMID:1739048	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000912	Sprengel anomaly									PCS	21/50								PMID:4436358	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6		GDF6	HP:0001425	Heterogeneous									ITM							I think this should be removed. In the OMIM record, they say KFS is caused by heterogenous mutations but KFS1 is autosomal dominant.			17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0002162	Low posterior hairline									PCS	typical								PMID:1739048;PMID:4436358	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0002650	Scoliosis			PATO:0002049	lateral and rotional curvature					PCS	30/50	PATO:0001869	pathological						PMID:4436358	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0004636	fusion of cervical vertebrae, most often c2-3									PCS	hallmark								PMID:18425797	17.02.2009
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000365	Hearing impairment									PCS	20/24								PMID:9875048	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000410	Mixed hearing loss									PCS	5/24								PMID:9875048	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000077	Abnormality of the kidney									PCS	16/45								PMID:4436358	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000122	Unilateral renal agenesis									PCS	7/45								PMID:4436358	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0002564	Cardiac malformation									PCS	21/505								PMID:4436358; PMID:5645110	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0001335	Mirror hand movements (bimanual synkinesia)									PCS	9/50								PMID:4436358	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0005988	Congenital muscular torticollis									PCS	20%								PMID:4436358	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000465	Webbed neck									PCS	20%								PMID:4436358	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000707	Abnormality of the nervous system									PCS	5/19								PMID:9702666	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0000772	Abnormality of the ribs									PCS	occasional								ISBN-13:978-0721606156	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0007291	Posterior fossa cysts									PCS	occasional								ISBN-13:978-0721606156	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0002813	Abnormality of the extremities							HP:0003577	Congenital onset	PCS	occasional								PMID:16585825; PMID:18425797	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6											PCS	occasional						Term used was cervicomedullary neuroschisis		ISBN-13:978-0721606156; PMID:11950676	24.04.2012
MIM:118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT	MIM:601147	GROWTH/DIFFERENTIATION FACTOR 6	MIM:601147 / wt (alleles .0001, 0002, 0003, 0004)	GDF6	HP:0005640	Abnormal vertebral segmentation and fusion							HP:0003577	Congenital onset	PCS	hallmark								PMID:18425797	24.04.2012
