Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation	Description	Orthologs	Pub	Date Created	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0000006	Autosomal dominant inheritance									PCS								MIM:127300	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0000156	High-arched palate									PCS	occasional							PubMed:11739418; http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0002650	Scoliosis									PCS	occasional							PubMed:11739418; http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0002993	Short tibia									PCS	typical							ISBN-13:978-0721606156	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0002996	Limited elbow movement									PCS	typical							MIM:127300	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0003027	Mesomelia									PCS	hallmark							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0003067	Madelung deformity							HP:0003661	Onset in childhood or adolescence	PCS	60-100%			female				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0003102	Increased carrying angle									PCS	occasional							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0008873	Short stature, disproportionate short-limbed									PCS	hallmark							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0002995	Short radius									PCS	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	17.02.2009	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0006248	Limited wrist movement									PCS	typical							MIM:127300	13.08.2010	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0003067	Madelung deformity							HP:0003661	Onset in childhood or adolescence	PCS	45-82%			male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	13.08.2010	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0002986	Radial bowing									PCS	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	13.08.2010	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0003022	Hypoplasia of the ulna									PCS	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	13.08.2010	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0006459	Dorsal subluxation of ulna									PCS	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	13.08.2010	
MIM:127300	LERI-WEILL DYSCHONDROSTEOSIS MADELUNG DEFORMITY, INCLUDED			MIM:312865 / wt; MIM:400020 / wt; delPAR1	SHOX; SHOXY; PAR1	HP:0001191	Abnormality of the carpal bones									PCS	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=lwd	13.08.2010	
