Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0000006	Autosomal dominant inheritance									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0000514	Slow saccades									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0000529	Progressive visual loss									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0000608	Macular degeneration	FMA:58637	null	PATO:0000639	degenerate					TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0000623	Supranuclear ophthalmoplegia									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0000648	Optic atrophy	FMA:50863	null	PATO:0001623	atrophied					PCS	1/2							PMID:19659750	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0001146	Pigmentary retinal degeneration									IEA								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0001257	Spasticity									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0001260	Dysarthria									PCS	2/2							PMID:19659750	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0001310	Dysmetria									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0001347	Hyperreflexia									PCS	7/7							OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0002015	Dysphagia	GO:0043050	null	PATO:0001641	disfunctional					TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0002071	Extrapyramidal signs									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0002072	Chorea									TAS								OMIM:164500 	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0002073	Progressive cerebellar ataxia									PCS	2/2							PMID:19659750	Feb 17, 2009	
MIM:164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	MIM:607640	ATAXIN 7		ATXN7	HP:0002303	Cognitive decline									PCS	UNCOMMON							PMID:9781533	Feb 17, 2009	
