Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0000006	Autosomal dominant inheritance											PCS						MIM:174900	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0001217	Clubbing											PCS	occasional					MIM:174900	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0001508	Failure to thrive											PCS	frequent					MIM:174900	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0001903	Anemia											PCS	common					ISBN-10:0-19-262896-8	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0002014	Diarrhea											PCS	common					ISBN-10:0-19-262896-8	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0002027	Abdominal pain											PCS	common					ISBN-10:0-19-262896-8	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0002035	Rectal prolapse											PCS	occasional					ISBN-10:0-19-262896-8	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0002576	Intussusception											PCS	occasional					MIM:174900	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0002609	Rectal bleeding											PCS	occasional					ISBN-10:0-19-262896-8	17.02.2009	
MIM:174900	JUVENILE POLYPOSIS SYNDROME JUVENILE INTESTINAL POLYPOSIS POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACT JUVENILE POLYPOSIS OF STOMACH, INCLUDED JUVENILE POLYPOSIS COLI, INCLUDED				BMPR1A, SMAD4, MADH4, DPC4, PTEN	HP:0003003	Colon cancer											PCS	20%					ISBN-10:0-19-262896-8	17.02.2009	
