Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000028	Cryptorchidism									TAS	85%			male					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000038	Small penis									TAS	typical								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000044	Hypogonadotrophic hypogonadism									TAS	hallmark								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000046	Scrotal hypoplasia									TAS	69%								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000060	Hypoplastic clitoris									TAS	typical			female					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000064	Hypoplastic labia minora									TAS	typical			female					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000219	Thin upper lip									TAS	typical								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000268	Dolichocephaly									TAS									MIM:176270	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000314	Bitemporal narrowing									TAS	typical								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000540	Hypermetropia									TAS									MIM:176270	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000545	Myopia									TAS	occasional								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000582	Upslanting palpebral fissures									TAS	occasional								ISBN-13:978-0721606156	17.02.2009	
MIM:176270	PRADER-WILLI SYNDROME PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED			del15q11-q13pat	NDN, SNRPN, 15q11-q13	HP:0000715	Behavioral disturbances									TAS	typical								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=pws	17.02.2009	
