Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0000006	Autosomal dominant inheritance			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0000324	Facial asymmetry			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0000343	Long philtrum			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0000369	Low-set ears			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0000486	Strabismus			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0000750	Delayed speech and language development			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0001328	Specific learning disability			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0007687	Unilateral ptosis			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0007946	Narrow palpebral fissure, unilateral			IEA	IEA							OMIM:182875	HPO	2009.02.17
OMIM:182875	SPEECH DEVELOPMENT, DELAYED, WITH FACIAL ASYMMETRY, STRABISMUS, ANDTRANSVERSE EARLOBE CREASE					HP:0009908	Anterior creases of earlobe			IEA	IEA							OMIM:182875	HPO	2009.02.17
