Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0000007	Autosomal recessive inheritance			IEA	IEA									17.02.2009
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0000648	Optic atrophy			IEA	IEA									17.02.2009
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0000952	Jaundice			IEA	IEA									17.02.2009
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0000989	Pruritus			IEA	IEA									17.02.2009
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0001081	Cholelithiasis			IEA	IEA									17.02.2009
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE									IEA	IEA									17.02.2009
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0001939	Abnormality of metabolism/homeostasis			IEA	IEA									17.02.2009
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0001251	Ataxia			PCS	PCS							MIM:214980	probinson	06.04.2012
MIM:214980	CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0100490	Camptodactyly (hands)			PCS	PCS							MIM:214980	probinson	06.04.2012
OMIM:214980	214980 CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0001488	Bilateral ptosis			IEA	IEA						OMIM-CS:HEENT > BILATERAL PTOSIS	OMIM:214980	HPO:skoehler	17.10.2012
OMIM:214980	214980 CHOLESTASIS WITH GALLSTONE, ATAXIA, AND VISUAL DISTURBANCE					HP:0007863	Retinal lesions			IEA	IEA						OMIM-CS:HEENT > RETINAL LESIONS	OMIM:214980	HPO:skoehler	17.10.2012
