Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0000044	Hypogonadotrophic hypogonadism			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0000529	Progressive visual loss			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0000556	Retinal dystrophy			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0000613	Photophobia			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0001135	Chorioretinal dystrophy			TAS	TAS							OMIM:215470	HPO:skoehler	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0001251	Ataxia			IEA	IEA							OMIM:215470	HPO:skoehler	Jun 18, 2010	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0001251	Ataxia			TAS	TAS							OMIM:215470	HPO:skoehler	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0001272	Cerebellar atrophy			IEA	IEA							OMIM:215470	HPO:skoehler	Jun 18, 2010	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0001939	Abnormality of metabolism/homeostasis			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0002080	Intention tremor			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
OMIM:215470	CHORIORETINAL DYSTROPHY, SPINOCEREBELLAR ATAXIA, AND HYPOGONADOTROPICHYPOGONADISM					HP:0002168	Scanning speech			IEA	IEA							OMIM:215470	HPO	Feb 17, 2009	
