Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0000238	Hydrocephalus			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0000639	Nystagmus			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0000930	Elevated imprint of the transverse sinuses			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0000931	Thinning and bulging of the posterior fossa bones			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0000933	Posterior fossa cyst at the fourth ventricle			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0001162	Postaxial polydactyly (hands)			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0001305	Dandy-Walker malformation			TAS	TAS							OMIM:220220	HPO:probinson	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0002078	Truncal ataxia			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0002198	Dilated fourth ventricle			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0006824	Cranial nerve paralysis			IEA	IEA							OMIM:220220	HPO	17.02.2009	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0002951	Partial absence of cerebellar vermis			TAS	TAS						Or Agenesis of cerebellar vermis	OMIM:220220	HPO:probinson	10.06.2012	
OMIM:220220	DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY					HP:0002335	Agenesis of cerebellar vermis			TAS	TAS						Or Partial absence of cerebellar vermis	OMIM:220220	HPO:probinson	10.06.2012	
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0001650	Aortic valve stenosis			IEA	IEA						MODIFIER:MILD;OMIM-CS:CARDIOVASCULAR_HEART > AORTIC STENOSIS, MILD	OMIM:220220	HPO:skoehler	30.07.2013
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0001643	Patent ductus arteriosus			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > PATENT DUCTUS ARTERIOSUS	OMIM:220220	HPO:skoehler	30.07.2013
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0000369	Low-set ears			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > LOW-SET EARS	OMIM:220220	HPO:skoehler	30.07.2013
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0000533	Chorioretinal atrophy			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > CHORIORETINAL ATROPHY	OMIM:220220	HPO:skoehler	30.07.2013
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0000627	Posterior embryotoxon			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > POSTERIOR EMBRYOTOXON	OMIM:220220	HPO:skoehler	30.07.2013
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0002007	Frontal bossing			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > FRONTAL BOSSING	OMIM:220220	HPO:skoehler	30.07.2013
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0000268	Dolichocephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > DOLICHOCEPHALY	OMIM:220220	HPO:skoehler	30.07.2013
OMIM:220220	220220 DANDY-WALKER MALFORMATION WITH POSTAXIAL POLYDACTYLY;;DWM WITH POSTAXIAL POLYDACTYLY;;PIERQUIN SYNDROME					HP:0000256	Macrocephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > LARGE HEAD	OMIM:220220	HPO:skoehler	30.07.2013
