Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000007	Autosomal recessive inheritance			TAS	TAS							OMIM:220500	probinson	17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000156	High-arched palate			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000280	Coarse facial features			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000343	Long philtrum			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000369	Low-set ears			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000404	Deafness			TAS	TAS							OMIM:220500	probinson	17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000431	Wide nasal bridge			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000443	Bulbous nasal tip			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000461	Large nose			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000463	Anteverted nares			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000518	Cataract			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000569	Severe myopia (> -6.00 diopters)			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000618	Blindness			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000648	Optic atrophy			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000951	Abnormality of the skin			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0001199	Triphalangeal thumb			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0009882	Short distal phalanx of finger			IEA	IEA									17.02.2009	
