Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:221750	HPO	Feb 17, 2009	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0000470	Short neck			IEA	IEA							OMIM:221750	HPO:skoehler	Jun 20, 2010	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0000824	Growth hormone deficiency			IEA	IEA							OMIM:221750	HPO	Feb 17, 2009	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0000830	Anterior hypopituitarism			IEA	IEA							OMIM:221750	HPO	Feb 17, 2009	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0001249	Intellectual disability			IEA	IEA							OMIM:221750	HPO:skoehler	Jun 20, 2010	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0004322	Short stature			IEA	IEA							OMIM:221750	HPO:skoehler	Jun 20, 2010	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0008192	Gonadotropin deficiency			IEA	IEA							OMIM:221750	HPO	Feb 17, 2009	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0008238	Anterior pituitary hypoplasia			IEA	IEA							OMIM:221750	HPO:skoehler	Jun 18, 2010	
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0000407	Sensorineural hearing impairment			TAS	TAS							OMIM:221750	HPO:skoehler	Mar 14, 2013
OMIM:221750	DEAFNESS, SENSORINEURAL, WITH PITUITARY DWARFISM					HP:0000839	Pituitary dwarfism			TAS	TAS						Disease name contained:sensorineural, with pituitary dwarfismnon-acquired combine	OMIM:221750	HPO:skoehler	21.01.2015
	
