Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000006												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000028												IEA	33.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000047		FMA:19650		PATO:0001920								IEA	33.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000048		FMA:18252		PATO:0000403								IEA	33.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000176		FMA:54549		HP:0000208								IEA	7.5000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000252		FMA:46565		PATO:0000587								IEA	84.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000307		FMA:46495		PATO:0000944								IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000316		FMA:54450		PATO:0000374		FMA:54449						IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000378												IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000431												IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000490												IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000494												IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000508												IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000565												IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000612		FMA:58235		HP:0000589								IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000684				PATO:0000502								IEA							17.02.2009
