Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0000007	Autosomal recessive inheritance									IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0000256	Macrocephaly	FMA:46565	Skull	PATO:0000586	increased size					IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0000939	Osteoporosis			_:increased_bone_resorption_and__:decreased_osteogenesis						IEA		PATO:0001869	pathological							17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0001102	Angioid streaks									IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0001324	Muscle weakness	FMA:5022	Muscle organ	PATO:0001779	decreased strength					IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0001509		FMA:20394	Human body	PATO:0000569	decreased height					IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0002149	Hyperuricemia									IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0002684	Thickened calvaria	FMA:52800	Calvaria	PATO:0000591	increased thickness					IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0002905	Hyperphosphatemia	FMA:62970	Portion of plasma	PATO:0001162	increased concentration	CHEBI:26020	phosphate			IEA										17.02.2009
MIM:239000	PAGET DISEASE, JUVENILE HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC OSTEOECTASIA, FAMILIAL	MIM:602643	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 11B OSTEOCLASTOGENESIS INHIBITORY FACTOR		TNFRSF11B	HP:0002970	Genu varum									ITM										17.02.2009
