Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000007												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000047		FMA:19650		PATO:0001920								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000048		FMA:18252		PATO:0000403								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000049												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000156												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000260		FMA:75439		PATO:0000600								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000337		FMA:63864		PATO:0000600								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000349												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000358		FMA:52780		PATO:0001922								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000369		FMA:52780		PATO:0001476								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000445		FMA:46472		PATO:0000600								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000474												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000494												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000508												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000520												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000960												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0001159		FMA:85518		PATO:0000642		FMA:85518						IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0001161		FMA:85518		PATO:0000470								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0001509		FMA:20394		PATO:0000569								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0002258												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0007871												IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0000396											MIM:239710	PCS							18.12.2011
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0009651		FMA:24938		PATO:0000600								IEA							17.02.2009
MIM:239710	ACROFRONTOFACIONASAL DYSOSTOSIS 2					HP:0010055		FMA:25047		PATO:0000600								IEA							17.02.2009
