Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000175	Cleft palate			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000204	Cleft upper lip			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000252	Microcephaly			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000316	Hypertelorism			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000347	Micrognathia			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000519	Congenital cataract			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000777	Abnormality of the thymus			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001010	Hypopigmentation of the skin			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001107	Ocular albinism			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001250	Seizures			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001252	Muscular hypotonia			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001263	Global developmental delay			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001274	Agenesis of corpus callosum			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001320	Cerebellar vermis hypoplasia			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001508	Failure to thrive			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001635	Congestive heart failure			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001638	Cardiomyopathy			IEA	IEA							OMIM:242840	HPO	17.02.2009	
