Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000006	Autosomal dominant inheritance			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000028	Cryptorchidism			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000046	Scrotal hypoplasia			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000093	Proteinuria			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000160	Narrow mouth			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000233	Thin vermilion border			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000286	Epicanthus			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000323	Long, flat philtrum			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000347	Micrognathia			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000365	Hearing impairment			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000402	Stenosis of the external auditory canal			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000425	Flattened nasal bridge			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000431	Broad nasal bridge			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000441	Short, upturned nose			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000508	Ptosis			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000535	Sparse eyebrow			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000581	Blepharophimosis			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0000687	Widely spaced teeth			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0001249	Intellectual disability			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0001250	Seizures			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0001252	Muscular hypotonia			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0001388	Joint laxity			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0001760	Abnormality of the feet			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0002564	Malformation of the heart and great vessels			ITM	ITM							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0004209	Clinodactyly of the 5th finger			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0004322	Short stature			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0008551	Microtia			IEA	IEA							OMIM:249620	HPO	17.02.2009
OMIM:249620	MENTAL RETARDATION, CONGENITAL HEART DISEASE, BLEPHAROPHIMOSIS, BLEPHAROPTOSIS,AND HYPOPLASTIC TEETH					HP:0008872	Feeding difficulties in infancy			IEA	IEA							OMIM:249620	HPO	17.02.2009
