Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0001638	Cardiomyopathy	HP:0003584	Late onset	IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > CARDIOMYOPATHY, LATE ONSET	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0001419	X-linked recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > X-LINKED RECESSIVE	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE									IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > ABNORMAL DYSTROPHIN ON MUSCLE BIOPSY	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0011675	Arrhythmia			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > ABNORMAL ELECTROCARDIOGRAM	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0003236	Elevated serum creatine phosphokinase			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > HIGH SERUM CREATINE KINASE	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0003581	Adult onset			IEA	IEA						OMIM-CS:MISCELLANEOUS > USUAL AGE OF ONSET IN THE 20S AND 30S	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0003326	Myalgia			IEA	IEA						OMIM-CS:MUSCLE > CALF AND THIGH CRAMPING MUSCLE PAINS	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0003707	Calf muscle pseudohypertrophy			IEA	IEA						OMIM-CS:MUSCLE > CALF MUSCLE PSEUDOHYPERTROPHY	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0001324	Muscle weakness			IEA	IEA						OMIM-CS:MUSCLE > WEAKNESS	OMIM:300376	HPO:skoehler	Oct 14, 2012	
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0001265	Hyporeflexia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > HYPOREFLEXIA	OMIM:300376	HPO:skoehler	Oct 14, 2012
OMIM:300376	#300376 MUSCULAR DYSTROPHY, BECKER TYPE; BMD;;BECKER MUSCULAR DYSTROPHY;;MUSCULAR DYSTROPHY, PSEUDOHYPERTROPHIC PROGRESSIVE, BECKER TYPE					HP:0003560	Muscular dystrophy			IEA	IEA						Disease name contained:#300376 muscular dystrophy, becker type; bmd;;	OMIM:300376	HPO:skoehler	21.01.2015
	
