Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0006610	Wide intermamillary distance			IEA	IEA						OMIM-CS:CHEST_BREASTS > WIDELY SPACED NIPPLES	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000054	Micropenis			IEA	IEA						OMIM-CS:GENITOURINARY_EXTERNAL GENITALIA, MALE > SMALL PENIS	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0004324	Increased body weight			IEA	IEA						OMIM-CS:GROWTH_WEIGHT > INCREASED WEIGHT	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0007874	Almond-shaped palpebral fissure			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > ALMOND-SHAPED EYES	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000490	Deeply set eye			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DEEP-SET EYES	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000664	Synophrys			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > SYNOPHRYS	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000582	Upslanted palpebral fissure			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > UPSLANTING PALPEBRAL FISSURES	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000272	Malar flattening			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MIDFACE HYPOPLASIA	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000336	Prominent supraorbital ridges			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > PROMINENT SUPRAORBITAL RIDGES	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000283	Broad face			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > WIDE FACE	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000256	Macrocephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > LARGE HEAD	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0002714	Downturned corners of mouth			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > DOWNTURNED CORNERS OF THE MOUTH	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000154	Wide mouth			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > LARGE MOUTH	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000213	Thin lips			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > THIN LIPS	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000475	Broad neck			IEA	IEA						OMIM-CS:HEAD AND NECK_NECK > SHORT, BROAD NECK	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0005280	Depressed nasal bridge			IEA	IEA						OMIM-CS:HEAD AND NECK_NOSE > LOW NASAL BRIDGE	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0001419	X-linked recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > X-LINKED RECESSIVE	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0011356	Regional abnormality of skin			IEA	IEA						OMIM-CS:MUSCLE, SOFT TISSUE > MYXEDEMATOUS APPEARANCE	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0000718	Aggressive behavior			IEA	IEA						OMIM-CS:NEUROLOGIC_BEHAVIORAL/PSYCHIATRIC MANIFESTATIONS > AGGRESSION	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0010529	Echolalia			IEA	IEA						OMIM-CS:NEUROLOGIC_BEHAVIORAL/PSYCHIATRIC MANIFESTATIONS > ECHOLALIA	OMIM:300860	HPO:skoehler	Oct 14, 2012	
OMIM:300860	#300860 MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN;;MENTAL RETARDATION, X-LINKED, SYNDROMIC, 30; MRXS30					HP:0002465	Poor speech			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > LACK OF SPEECH OR POOR SPEECH	OMIM:300860	HPO:skoehler	Oct 14, 2012	
