Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0000764	Peripheral axonal degeneration			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0001260	Dysarthria			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0001265	Hyporeflexia			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0001423	X-linked dominant inheritance			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0001761	Pes cavus			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0002015	Dysphagia			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0002385	Paraparesis			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0002427	Motor aphasia			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0002500	Abnormality of the cerebral white matter			IEA	IEA							OMIM:302800	HPO:skoehler	Jun 20, 2010	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0002934	Distal limb muscle atrophy due to peripheral neuropathy			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0002935	Distal limb muscle weakness due to peripheral neuropathy			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0002936	Distal sensory impairment			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0003380	Decreased number of peripheral myelinated nerve fibers			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0003431	Decreased motor nerve conduction velocity			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED, 1					HP:0003829	Incomplete penetrance			IEA	IEA							OMIM:302800	HPO	Feb 17, 2009	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0001270	Motor delay			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DELAYED MOTOR DEVELOPMENT	OMIM:302800	HPO:skoehler	Oct 17, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0001337	Tremor			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > TREMOR	OMIM:302800	HPO:skoehler	Oct 17, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0001288	Gait disturbance			IEA	IEA						OMIM-CS:NEUROLOGIC_PERIPHERAL NERVOUS SYSTEM > GAIT DISTURBANCE	OMIM:302800	HPO:skoehler	Oct 17, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0001419	X-linked recessive inheritance			IEA	IEA						OMIM-CS:MISCELLANEOUS > X-LINKED RECESSIVE LOCI INCLUDE CMTX2 (302801) AND CMTX3 (302802)	OMIM:302800	HPO:skoehler	Nov 21, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0002355	Difficulty walking			IEA	IEA						OMIM-CS:NEUROLOGIC_PERIPHERAL NERVOUS SYSTEM > DIFFICULTY WALKING ON HEELS	OMIM:302800	HPO:skoehler	Nov 21, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0002460	Distal muscle weakness			IEA	IEA						OMIM-CS:NEUROLOGIC_PERIPHERAL NERVOUS SYSTEM > DISTAL LIMB MUSCLE WEAKNESS DUE TO PERIPHERAL NEUROPATHY	OMIM:302800	HPO:skoehler	Nov 21, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0003383	Onion bulb formation			IEA	IEA						OMIM-CS:NEUROLOGIC_PERIPHERAL NERVOUS SYSTEM > ONION BULB FORMATIONS	OMIM:302800	HPO:skoehler	Nov 21, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0001771	Achilles tendon contracture			IEA	IEA						OMIM-CS:SKELETAL_LIMBS > ACHILLES TENDON CONTRACTURES	OMIM:302800	HPO:skoehler	Nov 21, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0009830	Peripheral neuropathy			IEA	IEA						OMIM-CS:NEUROLOGIC_PERIPHERAL NERVOUS SYSTEM > DISTAL LIMB MUSCLE WEAKNESS DUE TO PERIPHERAL NEUROPATHY	OMIM:302800	HPO:skoehler	Nov 26, 2012	
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0000639	Nystagmus			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > NYSTAGMUS (IN SOME PATIENTS)	OMIM:302800	HPO:skoehler	25.02.2014
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0003677	Slow progression			IEA	IEA						OMIM-CS:MISCELLANEOUS > SLOW PROGRESSION	OMIM:302800	HPO:skoehler	25.02.2014
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0001272	Cerebellar atrophy			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CEREBELLAR ATROPHY (IN SOME PATIENTS)	OMIM:302800	HPO:skoehler	25.02.2014
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0001310	Dysmetria			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DYSMETRIA (IN SOME PATIENTS)	OMIM:302800	HPO:skoehler	25.02.2014
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0003487	Babinski sign			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > EXTENSOR PLANTAR RESPONSES (IN SOME PATIENTS)	OMIM:302800	HPO:skoehler	25.02.2014
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0002395	Lower limb hyperreflexia			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > HYPERREFLEXIA IN THE LOWER LIMBS (IN SOME PATIENTS)	OMIM:302800	HPO:skoehler	25.02.2014
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0002311	Incoordination			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > LIMB INCOORDINATION (IN SOME PATIENTS)	OMIM:302800	HPO:skoehler	25.02.2014
OMIM:302800	#302800 CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1;;CMTX;;CHARCOT-MARIE-TOOTH PERONEAL MUSCULAR ATROPHY, X-LINKED;;HEREDITARY MOTOR AND SENSORY NEUROPATHY, X-LINKED;;HMSN, X-LINKED;;CHARCOT-MARIE-TOOTH NEUROPATHY, X-LINKED, 1;;CMT2, FORMERLY					HP:0000407	Sensorineural hearing impairment			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > SENSORINEURAL HEARING LOSS (UNCOMMON)	OMIM:302800	HPO:skoehler	04.05.2014
