Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:309541	MENTAL RETARDATION, X-LINKED 3	MIM:300104	GDP DISSOCIATION INHIBITOR 1		GDI1	HP:0001249	Intellectual disability			TAS	TAS							MIM:309541	HPO:probinson	17.02.2009	
MIM:309541	MENTAL RETARDATION, X-LINKED 3	MIM:300104	GDP DISSOCIATION INHIBITOR 1		GDI1	HP:0001417	X-linked inheritance			TAS	TAS							MIM:309541	HPO:probinson	17.02.2009	
OMIM:309541	#309541 MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0004322	Short stature			IEA	IEA						OMIM-CS:GROWTH_HEIGHT > SHORT STATURE	OMIM:309541	HPO:skoehler	25.11.2012
OMIM:309541	#309541 MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0000248	Brachycephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > BRACHYCEPHALY	OMIM:309541	HPO:skoehler	25.11.2012
OMIM:309541	#309541 MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0001419	X-linked recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > X-LINKED RECESSIVE	OMIM:309541	HPO:skoehler	25.11.2012
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0001508	Failure to thrive			IEA	IEA						OMIM-CS:GROWTH_OTHER > FAILURE TO THRIVE	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0000252	Microcephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > MICROCEPHALY	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0002156	Homocystinuria			IEA	IEA	rare					OMIM-CS:LABORATORY ABNORMALITIES > HOMOCYSTINURIA (IN SOME PATIENTS)	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0002912	Methylmalonic acidemia			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > METHYLMALONIC ACIDEMIA	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0012120	Methylmalonic aciduria			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > METHYLMALONIC ACIDURIA	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0003593	Infantile onset			IEA	IEA						OMIM-CS:MISCELLANEOUS > ONSET IN INFANCY	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0002305	Athetosis			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > ATHETOSIS (IN SOME PATIENTS)	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0002072	Chorea			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CHOREA (IN SOME PATIENTS)	OMIM:309541	HPO:skoehler	18.11.2013
OMIM:309541	#309541 METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE;;MENTAL RETARDATION, X-LINKED 3; MRX3					HP:0002521	Hypsarrhythmia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > HYPSARRHYTHMIA	OMIM:309541	HPO:skoehler	18.11.2013
