Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0000407	Sensorineural hearing impairment			IEA	IEA							OMIM:601338	HPO	Feb 17, 2009	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0000639	Nystagmus			IEA	IEA							OMIM:601338	HPO	Feb 17, 2009	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0000648	Optic atrophy			IEA	IEA							OMIM:601338	HPO:skoehler	Jun 20, 2010	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0001284	Areflexia			IEA	IEA							OMIM:601338	HPO	Feb 17, 2009	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0001761	Pes cavus			TAS	TAS							OMIM:601338	HPO:skoehler	Feb 17, 2009	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0006852	Episodic generalized hypotonia			IEA	IEA							OMIM:601338	HPO	Feb 17, 2009	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0007152	Relapsing, early onset cerebellar ataxia			IEA	IEA							OMIM:601338	HPO	Feb 17, 2009	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0009830	Peripheral neuropathy			TAS	TAS				NOT	NOT		OMIM:601338	HPO:skoehler	Jun 18, 2010	
OMIM:601338	601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS;;CAPOS					HP:0009830	Peripheral neuropathy			IEA	IEA				NOT	NOT	OMIM-CS:NEURO > NO PERIPHERAL NEUROPATHY	OMIM:601338	HPO:skoehler	May 30, 2013	
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS					HP:0002131	Episodic ataxia			TAS	TAS							OMIM:601338	HPO	Aug 11, 2013	
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0000408	Progressive sensorineural hearing impairment			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > SENSORINEURAL HEARING LOSS, PROGRESSIVE	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0000618	Blindness			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > BLINDNESS	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0000572	Visual loss			IEA	IEA						MODIFIER:PROGRESSIVE;OMIM-CS:HEAD AND NECK_EYES > VISUAL LOSS, PROGRESSIVE	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0001324	Muscle weakness			IEA	IEA						MODIFIER:EPISODIC;OMIM-CS:MUSCLE, SOFT TISSUE > WEAKNESS, EPISODIC	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0001260	Dysarthria			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DYSARTHRIA	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0001310	Dysmetria			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DYSMETRIA	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0002066	Gait ataxia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > GAIT ATAXIA	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0002078	Truncal ataxia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > TRUNCAL ATAXIA	OMIM:601338	HPO:skoehler	04.01.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0001332	Dystonia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DYSTONIA	OMIM:601338	HPO:skoehler	05.04.2015
OMIM:601338	#601338 CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURALHEARING LOSS; CAPOS					HP:0001269	Hemiparesis			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > HEMIPARESIS	OMIM:601338	HPO:skoehler	05.04.2015
