Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000007	Autosomal recessive inheritance			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000044	Hypogonadotrophic hypogonadism			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000164	Abnormality of the teeth			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000482	Microcornea			TAS	TAS							MIM:604168	HPO:probinson	17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000519	Congenital cataract			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000639	Nystagmus			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001171	Ectrodactyly (hands)			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001251	Ataxia			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001263	Global developmental delay			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001270	Motor delay			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001761	Pes cavus			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001762	Talipes equinovarus			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001999	Abnormal facial shape			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0002059	Cerebral atrophy			IEA	IEA									17.02.2009	
