Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2	HP:0000007	Autosomal recessive inheritance			PCS	PCS						The majority of cases are Autosomal recessive inheritance but autosomal dominant transmission has been reported (Traboulsi, 1998; PMID:10051017). Not sure if you want to add autosomal dominant, as well.	PMID:10051017	HPO	17.02.2009
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2	HP:0007883	White corneal opacification			PCS	PCS	hallmark						PMID:8162071; PMID:10051017	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2					PCS	PCS	hallmark					OMIM cites Peters, 1906 as saying absence of posterior corneal stroma and Descemet membrane but most publications use the term defect or breaks. Not sure if aplastic is too strong a term.	PMID:14711722	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2					PCS	PCS	hallmark						PMID:14711722	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2	HP:0001087	Congenital glaucoma			PCS	PCS	common					Most say 'over 50%', PMID:14711722 says 50-70% frequency.	PMID:11403040; PMID:14711722	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2					PCS	PCS	typical						PMID:8162071	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2					PCS	PCS	typical						PMID:8162071	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2	HP:0003745	Sporadic			PCS	PCS							PMID:8162071; PMID:10051017	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2	HP:0000639	Nystagmus			PCS	PCS	32%						PMID:14711722	HPO	24.04.2012
MIM:604229	PETERS ANOMALY				CYP1B1, FOXC1, PAX6, PITX2	HP:0000486	Strabismus			PCS	PCS	16%						PMID:14711722	HPO	24.04.2012
